Title,Short Intro,Category,Sub-Category,Course Type,Language,Rating,Number of viewers,Site,Skills,Instructors,Duration_Hours
Work Smarter with Microsoft Word,"This course is intended for learners with some experience using Microsoft Windows, who are seeking to build presentation skills with Microsoft Word. To be successful in this course you should have an understanding of the basics of using a Windows-based computer. Experience with printing and using a web browser are an asset, but not required.",Information Technology,Cloud Computing,Course,English,4.7,577.0,Coursera,"Documents,Microsoft Word,",Microsoft,30.0
Arts and Heritage Management,"Today cultural institutions are facing important dilemmas in many aspects of their management. Over the past decades, a new figure has emerged that of the art manager. ",Business,Marketing,Course,English,4.8,1255.0,Coursera,"Fundraising,Customer Relationship Management (CRM),Management,Marketing,",Andrea Rurale,16.0
Innovation Management,"What is innovation management? How do firms bring in new business models and get new products and services to the market? Go on a nine-week journey through innovation management concepts, theories of idea generation, selection, strategy formulation and implementation in this MOOC in Innovation Management. In it, you will also learn the tools for implementing innovation projects yourself. ",Business,Business Strategy,Course,English,4.7,1854.0,Coursera,"Social Network,Management,Innovation,Innovation Management,",Jasmien Khattab,10.0
Introduction to Spreadsheets and Models,"The simple spreadsheet is one of the most powerful data analysis tools that exists, and it’s available to almost anyone. Major corporations and small businesses alike use spreadsheet models to determine where key measures of their success are now, and where they are likely to be in the future. But in order to get the most out of a spreadsheet, you have the know-how to use it. This course is designed to give you an introduction to basic spreadsheet tools and formulas so that you can begin harness the power of spreadsheets to map the data you have now and to predict the data you may have in the future. Through short, easy-to-follow demonstrations, you’ll learn how to use Excel or Sheets so that you can begin to build models and decision trees in future courses in this Specialization. ",Business,Business Essentials,Course,English,4.2,3680.0,Coursera,"Monte Carlo Method,Microsoft Excel,Linear Programming (LP),Solver,",Don Huesman,5.0
Wind Energy,"How tall is a modern wind turbine and how can it possibly generate power from the wind? This course gives an overview of key aspects in wind energy engineering. Whether you are looking for general insight in this green technology or your ambition is to pursue a career in wind energy engineering, 'Wind Energy' is an excellent starting point. ",Physical Science and Engineering,Mechanical Engineering,Course,English,4.7,6936.0,Coursera,"Wind Energy,Materials,Wind Power,Wind Energy Engineering,",Ameya Sathe,35.0
AI for Medical Diagnosis,"AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. As an AI practitioner, you have the opportunity to join in this transformation of modern medicine. If you're already familiar with some of the math and coding behind AI algorithms, and are eager to develop your skills further to tackle challenges in the healthcare industry, then this specialization is for you. No prior medical expertise is required! ",Data Science,Machine Learning,Course,English,4.7,1825.0,Coursera,"Deep Learning,Image Segmentation,Machine Learning,model evaluation,Multi-class classification,",Pranav Rajpurkar,20.0
Accounting: Principles of Financial Accounting,"Financial Accounting is often called the language of business; it is the language that managers use to communicate the firm's financial and economic information to external parties such as shareholders and creditors. Nobody working in business can afford financial illiteracy. Whether you run your own business, work as a manager or are just starting your career, you want to understand financial information and be able to interact with accountants, controllers, and financial managers. You want to talk business! ",Business,Finance,Course,English,4.8,2825.0,Coursera,"Financial Accounting,Accounting,Financial Statement,Balance Sheet,",Marc Badia,12.0
Write Your First Novel,WRITE YOUR FIRST NOVEL,Arts and Humanities,Music and Art,Course,English,4.2,259.0,Coursera,"Creative Writing,Novel Writing,Story Telling,",David Wheeler,127.0
Social Media Management ,"This course equips you with critical content creation and management skills. You’ll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. You’ll also learn how to establish an ongoing process to manage your content. This includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. You will end the course with real-world application of your skills through a content management project.",Business,Marketing,Course,English,4.9,3963.0,Coursera,"Content Development,content management,Social Media Marketing,Content Marketing,Marketing Content Development,",Anke Audenaert,11.0
"Decisions, Decisions: Dashboards and Reports","You’re almost there! This is the third and final course in the Google Business Intelligence Certificate. In this course, you’ll apply your understanding of stakeholder needs, plan and create BI visuals, and design reporting tools, including dashboards. You’ll also explore how to answer business questions with flexible and interactive dashboards that can monitor data over long periods of time.",Data Science,Data Analysis,Course,English,4.8,52.0,Coursera,"Presenting Data Insights,Tableau Software,Data Visualization (DataViz),Effective Communication,Dashboarding and Reporting,",Google Career Certificates,27.0
